transaction_id,project_name,district,price,area_sqft,psf,sale_date,sale_type,tenure
TXN-00559,Stevens Suites,D10,1889000,800.0,2361.25,2020-08-08,New Sale,99 yrs
TXN-00724,Bishan Green,D20,1713000,991.36,1727.94,2025-04-19,Sub Sale,99 yrs
TXN-00229,Stevens Suites,D10,1423000,991.36,1435.41,2021-04-16,Sub Sale,Freehold
TXN-00055,Alexandra Central,D05,3199000,1330.0,2405.26,2024-05-20,New Sale,99 yrs
TXN-01548,Clementi Park Residences,D05,2121000,1036.0,2047.3,2023-04-09,New Sale,99 yrs
TXN-01594,Outram Park Residences,D03,829000,525.28,1578.21,2022-02-17,Resale,99 yrs
TXN-00925,Sengkang Riviera,D19,1559000,730.0,2135.62,2020-12-21,Sub Sale,Freehold
TXN-01457,Choa Chu Kang Residences,D23,3205000,1400.38,2288.66,2025-06-30,New Sale,Freehold
TXN-01616,Sembawang Springs,D27,3299000,1430.0,2306.99,2024-10-20,Resale,Freehold
TXN-00318,Clementi Park Residences,D05,1524000,710.0,2146.48,2023-10-28,Sub Sale,99 yrs
TXN-00245,Springleaf Green,D26,2476000,1061.32,2332.94,2025-05-31,Sub Sale,99 yrs
TXN-01023,Kallang Riverside,D07,2925000,1374.55,2127.97,2025-07-22,Resale,99 yrs
TXN-01229,Ang Mo Kio Grove,D20,1203000,710.0,1694.37,2021-04-19,New Sale,Freehold
TXN-01102,Kim Seng Plaza,D09,1886000,1036.0,1820.46,2024-06-20,Resale,99 yrs
TXN-01534,Katong Seaview,D15,1308000,1035.49,1263.17,2021-10-29,New Sale,99 yrs
TXN-01274,Farrer Road Court,D10,1535000,729.79,2103.34,2023-08-31,Sub Sale,99 yrs
TXN-00864,Cuscaden Residences,D09,1087000,971.0,1119.46,2025-06-30,New Sale,Freehold
TXN-00625,Maxwell Chambers Suites,D01,1773000,1091.0,1625.11,2025-08-20,Sub Sale,99 yrs
TXN-01009,Lavender Street Loft,D07,3143000,1310.0,2399.24,2025-02-12,Sub Sale,99 yrs
TXN-00574,Bishan Green,D20,1510000,1061.32,1422.76,2024-03-01,Resale,Freehold
TXN-00239,Farrer Park Residences,D08,3259000,1430.0,2279.02,2025-07-29,New Sale,99 yrs
TXN-01292,Bishan Green,D20,3090000,1374.55,2248.01,2024-10-12,New Sale,Freehold
TXN-01094,Novena Heights,D11,982000,775.0,1267.1,2024-12-08,New Sale,99 yrs
TXN-01036,River Valley Court,D09,1428000,729.79,1956.72,2025-08-18,New Sale,Freehold
TXN-01568,Newton Suites,D11,2085000,800.0,2606.25,2025-04-03,New Sale,99 yrs
TXN-00684,Stevens Suites,D10,625000,525.0,1190.48,2020-09-28,New Sale,Freehold
TXN-01407,Pasir Ris Seaview,D18,2551000,1091.46,2337.24,2022-02-16,Sub Sale,Freehold
TXN-00775,Stevens Suites,D10,814000,710.0,1146.48,2022-02-15,New Sale,99 yrs
TXN-01208,Katong Seaview,D15,625000,460.0,1358.7,2020-06-28,Sub Sale,99 yrs
TXN-00563,Marina Bay Suites,D01,2612000,829.9,3147.38,2023-06-19,Resale,99 yrs
TXN-00063,Telok Blangah Ridge,D04,3227000,1309.97,2463.42,2025-03-31,Resale,99 yrs
TXN-00179,Kembangan Court,D14,2513000,971.0,2588.05,2022-01-30,Resale,Freehold
TXN-00660,Pasir Panjang Residences,D05,1706000,1349.79,1263.9,2022-10-11,Resale,Freehold
TXN-01593,Lavender Street Loft,D07,1152000,710.0,1622.54,2025-04-19,Sub Sale,Freehold
TXN-01052,Serangoon Gardens,D19,3028000,1091.46,2774.27,2021-10-16,New Sale,99 yrs
TXN-00700,Harbourfront Residences,D04,2741000,991.36,2764.9,2022-03-31,Sub Sale,99 yrs
TXN-01429,Pasir Panjang Residences,D05,1257000,800.0,1571.25,2021-12-15,Resale,99 yrs
TXN-01558,Serangoon Gardens,D19,2538000,991.36,2560.13,2025-03-28,Resale,Freehold
TXN-00410,Opera Estate,D15,2488000,1430.0,1739.86,2025-08-16,Resale,99 yrs
TXN-00267,Bugis Junction Residences,D07,2688000,1011.0,2658.75,2021-08-09,New Sale,Freehold
TXN-00359,Orchard Heritage,D09,3733000,1375.0,2714.91,2023-01-18,New Sale,99 yrs
TXN-01577,Holland Village Loft,D10,1042000,525.28,1983.71,2025-05-28,Resale,99 yrs
TXN-00969,Ardmore Park,D10,1674000,799.76,2093.13,2023-09-01,Sub Sale,99 yrs
TXN-01155,Redhill Peak,D03,1559000,1011.0,1542.04,2021-01-05,Sub Sale,Freehold
TXN-01735,Kallang Riverside,D07,915000,500.0,1830.0,2023-04-27,New Sale,99 yrs
TXN-01563,East Coast Parkview,D15,2131000,1010.73,2108.38,2020-04-12,Sub Sale,99 yrs
TXN-01141,Geylang Quay,D14,1334000,500.52,2665.22,2024-05-04,Sub Sale,99 yrs
TXN-00377,Ardmore Park,D10,2229000,1349.79,1651.36,2021-08-15,Resale,Freehold
TXN-00215,Pasir Panjang Residences,D05,2020000,800.0,2525.0,2024-10-27,Resale,99 yrs
TXN-00582,Keppel Bay View,D04,1278000,525.28,2433.0,2024-01-21,Sub Sale,Freehold
TXN-00505,Toa Payoh Central,D12,1419000,970.9,1461.52,2025-08-06,Sub Sale,Freehold
TXN-01312,Redhill Peak,D03,2120000,750.0,2826.67,2022-08-28,Sub Sale,99 yrs
TXN-00139,Hillview Heights,D23,1932000,729.79,2647.33,2023-05-26,Sub Sale,Freehold
TXN-01220,Bukit Timah Grove,D21,1860000,1010.73,1840.25,2025-06-05,Resale,99 yrs
TXN-00792,Macpherson Park,D13,1248000,500.52,2493.4,2024-02-24,New Sale,99 yrs
TXN-00051,Holland Village Loft,D10,995000,480.0,2072.92,2025-05-28,Resale,Freehold
TXN-01638,Paterson Residences,D09,2432000,971.0,2504.63,2024-08-19,Sub Sale,99 yrs
TXN-01087,Upper Thomson Residences,D26,1129000,580.17,1945.97,2025-06-24,Resale,99 yrs
TXN-00028,Lavender Street Loft,D07,1056000,460.0,2295.65,2021-09-18,Resale,99 yrs
TXN-01617,Eunos Ville,D14,1219000,580.0,2101.72,2024-02-02,New Sale,Freehold
TXN-01419,Orchard Heritage,D09,1738000,1036.0,1677.61,2022-12-04,New Sale,Freehold
TXN-01100,Yishun Emerald,D27,2420000,1091.0,2218.15,2022-04-18,Resale,99 yrs
TXN-00659,Botanic Gardens Residences,D10,1802000,1011.0,1782.39,2024-11-27,Resale,Freehold
TXN-01271,Farrer Road Court,D10,1304000,775.0,1682.58,2023-09-12,Sub Sale,Freehold
TXN-00137,Springleaf Green,D26,1863000,1035.49,1799.15,2025-07-18,Sub Sale,99 yrs
TXN-00661,Yishun Emerald,D27,1575000,829.9,1897.83,2021-11-20,New Sale,99 yrs
TXN-00311,Bukit Batok West,D23,2189000,1091.0,2006.42,2021-03-05,Sub Sale,Freehold
TXN-01025,Sixth Avenue Suites,D10,1695000,1011.0,1676.56,2022-03-20,Sub Sale,99 yrs
TXN-00413,Hillview Heights,D23,1319000,991.0,1330.98,2021-10-30,New Sale,Freehold
TXN-00804,Bedok Reservoir Views,D16,2233000,1091.46,2045.88,2020-08-01,Sub Sale,Freehold
TXN-00656,Alexandra Central,D05,575000,460.0,1250.0,2025-01-05,New Sale,99 yrs
TXN-01737,Serangoon Gardens,D19,2125000,1061.0,2002.83,2022-02-19,Resale,Freehold
TXN-01694,Paterson Residences,D09,2056000,970.9,2117.61,2024-02-29,Resale,Freehold
TXN-00846,Jurong Lake District,D22,2229000,1091.46,2042.22,2025-03-25,Resale,Freehold
TXN-01004,Orchard Heritage,D09,2562000,1011.0,2534.12,2022-02-20,Resale,99 yrs
TXN-00959,Orchard Heritage,D09,1134000,580.17,1954.59,2022-08-09,Resale,99 yrs
TXN-00289,Scotts Tower,D09,2404000,971.0,2475.8,2022-03-01,Resale,Freehold
TXN-01250,Geylang Quay,D14,1718000,971.0,1769.31,2022-11-19,Sub Sale,99 yrs
TXN-01116,Balmoral Heights,D10,1738000,1309.97,1326.75,2021-05-25,New Sale,99 yrs
TXN-00785,West Coast Vale,D05,1618000,991.0,1632.69,2025-05-08,New Sale,Freehold
TXN-01415,One-North Loft,D05,2736000,1061.32,2577.92,2021-06-28,Resale,99 yrs
TXN-00711,Nassim Park,D10,1761000,1374.55,1281.15,2025-04-17,Resale,Freehold
TXN-00570,Shenton Way Suites,D01,1651000,799.76,2064.38,2025-07-28,Resale,Freehold
TXN-00600,Pasir Ris Seaview,D18,1250000,525.28,2379.69,2025-04-16,Resale,Freehold
TXN-00726,Redhill Peak,D03,794000,500.0,1588.0,2020-02-19,Resale,99 yrs
TXN-01339,The Orchid Residences,D19,1128000,991.36,1137.84,2022-11-03,Sub Sale,Freehold
TXN-01394,Jurong Lake District,D22,1126000,580.17,1940.8,2025-08-01,Sub Sale,99 yrs
TXN-01352,Scotts Tower,D09,1653000,729.79,2265.03,2020-11-03,Sub Sale,Freehold
TXN-00246,Leng Kee Court,D03,1590000,750.24,2119.31,2025-01-31,Sub Sale,Freehold
TXN-01217,Holland Village Loft,D10,2322000,830.0,2797.59,2025-05-22,New Sale,Freehold
TXN-00971,Woodlands Cascade,D25,1667000,971.0,1716.79,2025-09-02,Resale,Freehold
TXN-00355,The Orchid Residences,D19,2017000,1061.0,1901.04,2024-11-09,Resale,99 yrs
TXN-00164,Queenstown Vista,D03,1717000,775.0,2215.48,2023-07-11,Resale,Freehold
TXN-00082,Grange Road Residences,D09,2330000,1011.0,2304.65,2024-11-08,Sub Sale,99 yrs
TXN-00299,Raffles Place Tower,D01,2581000,1011.0,2552.92,2025-03-12,Sub Sale,99 yrs
TXN-00005,River Valley Court,D09,2277000,1036.0,2197.88,2024-11-17,Sub Sale,Freehold
TXN-00157,Beauty World Residences,D21,1150000,1010.73,1137.79,2025-03-29,New Sale,99 yrs
TXN-00227,Hillview Heights,D23,2190000,1061.32,2063.47,2024-11-01,Resale,Freehold
TXN-01401,Pasir Panjang Residences,D05,2686000,1091.46,2460.93,2025-07-03,Sub Sale,99 yrs
TXN-01372,Tampines Grande,D18,904000,550.0,1643.64,2025-07-07,Resale,99 yrs
TXN-01576,Dover Parkview,D05,1307000,580.17,2252.77,2022-07-23,Sub Sale,Freehold
TXN-01452,Admiralty Parkview,D25,1369000,1091.46,1254.28,2024-12-05,New Sale,Freehold
TXN-00769,Buona Vista Court,D05,3648000,1309.97,2784.8,2025-03-27,Sub Sale,Freehold
TXN-01096,Pasir Panjang Residences,D05,2503000,991.36,2524.83,2023-01-06,Sub Sale,99 yrs
TXN-01708,Serangoon Gardens,D19,1230000,500.52,2457.44,2025-03-13,New Sale,Freehold
TXN-00975,Farrer Road Court,D10,3788000,1375.0,2754.91,2021-02-14,Resale,99 yrs
TXN-00683,Tion Bahru Loft,D03,2126000,710.42,2992.61,2023-10-24,Resale,99 yrs
TXN-00326,Geylang Quay,D14,1425000,729.79,1952.61,2024-03-02,Sub Sale,99 yrs
TXN-01210,Maxwell Chambers Suites,D01,3453000,1091.0,3164.99,2024-07-06,Sub Sale,Freehold
TXN-01358,Leng Kee Court,D03,2319000,1430.0,1621.68,2023-09-19,Sub Sale,Freehold
TXN-00607,Bukit Timah Grove,D21,990000,775.0,1277.42,2023-06-04,Resale,Freehold
TXN-01279,Maxwell Chambers Suites,D01,2610000,830.0,3144.58,2025-05-21,New Sale,Freehold
TXN-01280,Marina Bay Suites,D01,1698000,710.0,2391.55,2023-07-10,Sub Sale,99 yrs
TXN-00332,Queenstown Vista,D03,1231000,480.07,2564.21,2025-01-22,Sub Sale,99 yrs
TXN-00214,River Valley Court,D09,1047000,829.9,1261.6,2022-09-03,Resale,99 yrs
TXN-01527,Toa Payoh Central,D12,2229000,1091.0,2043.08,2021-12-27,Resale,99 yrs
TXN-01072,Dover Parkview,D05,1030000,550.0,1872.73,2024-04-22,New Sale,99 yrs
TXN-01060,Sembawang Springs,D27,2980000,1091.46,2730.29,2024-05-22,Resale,99 yrs
TXN-00760,Ghim Moh Green,D10,984000,829.9,1185.69,2025-01-22,New Sale,Freehold
TXN-00182,Grange Road Residences,D09,1507000,750.24,2008.68,2024-07-22,New Sale,Freehold
TXN-00342,Maxwell Chambers Suites,D01,1522000,525.0,2899.05,2022-04-06,New Sale,Freehold
TXN-00569,Chin Swee Heights,D03,2207000,1010.73,2183.57,2020-12-16,New Sale,Freehold
TXN-00774,Nassim Park,D10,3695000,1350.0,2737.04,2023-04-04,New Sale,Freehold
TXN-00492,Eunos Ville,D14,895000,550.0,1627.27,2024-07-12,Sub Sale,Freehold
TXN-01329,Clementi Park Residences,D05,1271000,710.0,1790.14,2025-07-06,New Sale,Freehold
TXN-00718,Tanjong Pagar Place,D02,1938000,750.24,2583.16,2025-02-16,Resale,99 yrs
TXN-00688,Tion Bahru Loft,D03,1639000,1091.0,1502.29,2024-05-31,New Sale,Freehold
TXN-01672,Harbourfront Residences,D04,2518000,800.0,3147.5,2024-10-30,New Sale,99 yrs
TXN-01587,Kallang Riverside,D07,2247000,1010.73,2223.15,2025-02-26,Sub Sale,Freehold
TXN-01255,Scotts Tower,D09,2504000,1091.46,2294.18,2024-04-02,New Sale,99 yrs
TXN-00177,Upper Thomson Residences,D26,2304000,1400.38,1645.26,2023-04-03,Sub Sale,Freehold
TXN-00995,Cecil Street Tower,D01,1960000,750.24,2612.48,2020-06-02,Resale,Freehold
TXN-01667,Sixth Avenue Suites,D10,1791000,1010.73,1771.99,2025-04-14,Resale,Freehold
TXN-01488,Hillview Heights,D23,2574000,1375.0,1872.0,2022-01-06,Sub Sale,Freehold
TXN-00123,Farrer Park Residences,D08,1982000,730.0,2715.07,2025-05-19,New Sale,99 yrs
TXN-00097,Novena Heights,D11,1392000,775.0,1796.13,2022-06-02,Sub Sale,Freehold
TXN-00261,One-North Loft,D05,1273000,1091.0,1166.82,2025-05-31,Resale,Freehold
TXN-00798,Upper Thomson Residences,D26,2083000,991.0,2101.92,2022-11-04,New Sale,99 yrs
TXN-00052,Maxwell Chambers Suites,D01,1786000,991.0,1802.22,2022-12-23,Sub Sale,Freehold
