transaction_id,project_name,district,street,block,floor,unit,bedrooms,area,price,sale_date,sale_type,tenure
TXN-00559,stevens suites,D10,Stevens Road,32,35,08,2,800 sq ft,"S$ 1,889,000",08 Aug 2020,New Sale,99 yrs
TXN-00724,Bishan  Green,D20,Bishan Street 22,17,10,07,3,92.1 sqm,"$$ 1,713,000",19/04/2025,Sub Sale,99 yrs
TXN-01604,redhill  peak,3,Redhill Close,4,10,04,3,n/a,"$2,120,000",20/10/2021,RESALE,99 yrs
TXN-00229,  Stevens Suites  ,D10,Stevens Road,57,#22-17,17,3,92.1 sq.m,"$$ 1,423,000",2021-04-16,SUB SALE,Freehold
TXN-00055,ALEXANDRA CENTRAL, 5 ,Alexandra Road,63,19,17,4,1330 sqft,3199000,2024-05-20,New Sale,99 yrs
TXN-01548,CLEMENTI PARK RESIDENCES,5,Clementi Avenue 2,58,19,03,3,"1,036 sq ft",2121000,09 Apr 2023,NEW SALE,99 yrs
TXN-00589,Bishan Green,d20,Bishan Street 22,40,#28-10,10,2,-, 1000000 ,2025-09-04,NEW SALE,Freehold
TXN-01594,outram park residences,D03,Outram Road,61,33,03,1,48.8 sq m,"$829,000",17/02/2022,Resale,99 yrs
TXN-00925,SENGKANG RIVIERA,D19,Sengkang East Avenue,4,#04-15,15,2,730 sq ft,"S$ 1,559,000",21 Dec 2020, Sub Sale ,Freehold
TXN-00189,woodlands  cascade, 25 ,Woodlands Avenue 2,56,#13-05,05,4,130.1 sq.m,"$$ 33,740,000",29/01/2024,RESALE,99 yrs
TXN-01457,Choa  Chu  Kang  Residences,d23,Choa Chu Kang Avenue 3,50,#27-19,19,4,130.1 sq m,"$$ 3,205,000",30 Jun 2025,New Sale,Freehold
TXN-01616,sembawang springs,d27,Sembawang Road,77,#37-20,20,4,"1,430 sq ft", 3299000 ,20/10/2024,Resale,Freehold
TXN-00318,  Clementi Park Residences  , 5 ,Clementi Avenue 2,69,#15-05,05,2,710 sq.ft,1524000,28 Oct 2023,SUB SALE,99 yrs
TXN-00245,  Springleaf Green  ,26,Springleaf Avenue,25,4,03,3,98.6 sq m ,"$$ 2,476,000",31/05/2025,sub sale,99 yrs
TXN-01023,  Kallang Riverside  ,7,Kallang Avenue,15,26,05,4,127.7 sq m, 2925000 ,2025-07-22, Resale ,99 yrs
TXN-01229,ang  mo  kio  grove,20,Ang Mo Kio Avenue 6,4,11,19,2,710 sq ft,"$1,203,000",19/04/2021,new sale,Freehold
TXN-01102,Kim Seng Plaza,9,Kim Seng Road,55,24,18,3,"1,036 sq.ft","$$ 1,886,000",20 Jun 2024,resale,99 yrs
TXN-01534,Katong  Seaview,d15,East Coast Road,87,30,01,3,96.2 sqm,"$1,308,000",29/10/2021,NEW SALE,99 yrs
TXN-01274,FARRER ROAD COURT,D10,Farrer Road,19,#17-03,03,2,67.8 sqm, 1535000 ,31/08/2023,Sub Sale,99 yrs
TXN-00864,cuscaden residences,D9,Cuscaden Road,72,#13-14,14,3,971 sq.ft, 1087000 ,2025-06-30,new sale,Freehold
TXN-00625,maxwell  chambers  suites,1,Maxwell Road,18,#07-07,07,3,"1,091 sq.ft","$1,773,000",2025-08-20, Sub Sale ,99 yrs
TXN-01009,Lavender  Street  Loft,D07,Lavender Street,31,7,03,4,"1,310 sq ft",3143000,2025-02-12,Sub Sale,99 yrs
TXN-00574,bishan green,D20,Bishan Street 22,72,#22-03,03,3,98.6 sqm,"$$ 1,510,000",01 Mar 2024,RESALE,Freehold
TXN-00239,farrer park residences,8,Farrer Park Road,77,22,19,4,1430 sq.ft,"$$ 3,259,000",29 Jul 2025,New Sale,99 yrs
TXN-01292,Bishan  Green,d20,Bishan Street 22,33,#30-16,16,4,127.7 sq.m,3090000,12 Oct 2024,NEW SALE,Freehold
TXN-01094,novena heights,D11,Thomson Road,54,21,15,2,72.0 sq.m,"$$ 982,000",2024-12-08,New Sale,99 yrs
TXN-01036,RIVER VALLEY COURT,d09,River Valley Road,72,#37-09,09,2,67.8 sq m,"$$ 1,428,000",18 Aug 2025, New Sale ,Freehold
