transaction_id,project_name,district,street,block,floor,unit,bedrooms,area,price,sale_date,sale_type,tenure
T1266,Parc Meridian,D19,Hougang Ave 8,25B,12,12,3,93.5 sq m,"2,082,000",14/01/2024,Resale,99 yrs
T1172,Lakeshore Grand,D22,Lakeside Drive,21B,#21-06,6,3,1011 sqft,"$1,474,000",2020-01-08,resale,99 yrs
T2762,Westwood Gardens,D22,Westwood Ave,56B,23,10,2,800 sqft,1349000,22/01/2025,Resale,99 yrs
T1242,Parc Meridian,D19,Hougang Ave 8,23A,30,6,4,120.6 sqm,2879000,16/11/2023,Resale,99 yrs
T1252,Parc Meridian,D19,Hougang Ave 8,59B,23,1,4,1289 sqft,2823000,2024-02-16,Resale,99 yrs
T1085,Lakeshore Grand,D22,Lakeside Drive,21B,30,2,4,1453 sqft,2264000,2021-03-24,new sale,99 yrs
T1489,The Orchid Residences,D10,Orchard Boulevard,52A,25,3,1,577 sqft,"1,806,000",07/10/2020,Resale,Freehold
T1770,Marina Vue,D01,Marina Way,86B,18,6,4,1453 sqft,3372000,2020-05-05,Resale,99 yrs
T2234,SENGKANG TERRACE,D19,Compassvale Bow,86A,29,10,3,1087 sqft,1632000,07 Jan 2021,Resale,99 yrs
T1738,Marina Vue,D01,Marina Way,20,14,9,4,1450 sqft,4373000,2025-12-17,Resale,99 yrs
T2430,Pasir View Residences,D18,Pasir Ris Drive 3,58,2,1,3,977 sqft,1517000,2021-10-27,Sub Sale,99 yrs
T2320,SENGKANG TERRACE,19,Compassvale Bow,86A,10,12,2,63.8 sqm,"$1,296,000",2024-06-15,Resale,99 yrs
T1509,The Orchid Residences,D10,Orchard Boulevard,74B,#22-02,2,2,72.2 sqm,"$2,112,000",2022-01-06,SUB SALE,Freehold
T2513,Pasir View Residences,18,Pasir Ris Drive 3,90B,9,6,1,567 sqft,936000,20/03/2022,New Sale,99 yrs
T1479,The Orchid Residences,D10,Orchard Boulevard,52A,7,1,1,520 sqft,"$1,322,000",03/03/2020,Resale,Freehold
T1867,BUKIT VERDE,23,Bukit Batok West Ave 5,49A,#03-04,4,2,,"$1,070,000",28 Aug 2022,Resale,99 yrs
T1655,Riverbend Suites,D05,West Coast Crescent,53,7,9,1,47.5 sq m,1008000,10/10/2020,Resale,99 yrs
T2759,WESTWOOD GARDENS,D22,Westwood Ave,56B,27,6,3,92.6 sqm,1803000,2023-12-23,Resale,99 yrs
T2690,Queens Parkview,D03,Queensway,88,26,9,2,783 sqft,2029000,2025-01-05,Resale,99 yrs
T2820,Westwood Gardens,D22,Westwood Ave,54B,#28-06,6,3,1002 sqft,"S$ 1,868,000",2025-07-23,Resale,99 yrs
T2582,Pasir View Residences,D18,Pasir Ris Drive 3,58,30,5,4,1418 sqft,"$2,232,000",2021-02-02,RESALE,99 yrs
T1126,Lakeshore Grand,D22,Lakeside Drive,21B,#20-05,5,2,792 sq ft,1581000,27/06/2024,Resale,99 yrs
T2290,SENGKANG TERRACE,D19,Compassvale Bow,78A,7,5,3,100.0 sq m,1573000,20/08/2020,Resale,99 yrs
T2420,Holland Crest,D10,Holland Road,87A,29,5,2,660 sqft,2231000,30 Nov 2022,resale,Freehold
T1927,Bukit Verde,D23,Bukit Batok West Ave 5,80B,20,5,2,800 sqft,1686000,22/05/2025,Sub Sale,99 yrs
